title;office_id;office;otk;place_id;place;place_otk;region_id;region;region_otk;is_archive;cfo_type_id;guid
Подразделения ППК;1001;Отдел рекламы (маркетинга) (Рязань);MA10;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1002;Отдел рекламы (маркетинга) (Воскресенск);MA11;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1042;Отдел рекламы - РМ;MA38;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1043;Отдел рекламы - Мастики;MA37;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1044;Отдел рекламы - Самоклейки;MA39;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1045;Отдел рекламы - LR;MA33;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1046;Отдел рекламы - XPS;MA34;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1047;Отдел рекламы - КВ;MA35;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1048;Отдел рекламы - Шинглас;MA40;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1049;Отдел рекламы - Люксард;MA36;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1050;Отдел рекламы - ABC плёнки;MA32;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1090;Отдел рекламы - ABC пластики;MA41;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1165;Отдел рекламы - Дороги, мосты;MA44;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1166;Отдел рекламы - DIY РМ;MA45;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1167;Отдел рекламы - DIY Мастики;MA46;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1168;Отдел рекламы - DIY Никобенд;MA47;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1169;Отдел рекламы - Спец.КВ;MA48;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1170;Отдел рекламы - DIY КВ;MA49;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1171;Отдел рекламы - DIY XPS;MA50;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1172;Отдел рекламы - DIY Шинглас;MA51;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1173;Отдел рекламы - DIY Рулонная черепица;MA52;2364;Отдел Рекламы;;2356;ДП;;FALSE;;
Подразделения ППК;1006;Управление ДП;MA15;2366;Управление ДП;;2356;ДП;;FALSE;;
Подразделения ППК;784;ИТ Департамент разработки ПО;IT002;2253;ИТ Дирекция КЦ;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;870;ИТ Дирекция КЦ;IT01;2253;ИТ Дирекция КЦ;;2245;КЦ ППК;;FALSE;;
Подразделения ППК;1126;ЦО ИТ Украина;IT34;2253;ИТ Дирекция КЦ;;2245;КЦ ППК;;FALSE;;
